case_id,time,side,action,source,range,current_price,score
es_20260828_1345_short_7726_control,13:52:57,supply,HOLD,supply_lean,727-729.25,7724.5,32.922
es_20260828_1345_short_7726_control,13:54:07,supply,HOLD,supply_lean,726-733.75,7723.5,69.016
es_20260828_1345_short_7726_control,13:55:08,demand,TEST,supply_consumed,717-721,7721.75,13.188
es_20260828_1345_short_7726_control,13:55:13,supply,FORM,candidate,723-724,7723.0,8.238
es_20260828_1345_short_7726_control,13:55:32,supply,OWNED,supply_lean,724-725.75,7721.0,22.52
es_20260828_1345_short_7726_control,13:55:35,demand,TEST,demand_lean,719.25-719.75,7720.75,22.343
es_20260828_1345_short_7726_control,13:55:35,demand,TEST,supply_consumed,719.50-719.75,7720.75,8.13
es_20260828_1345_short_7726_control,13:55:41,supply,OWNED,supply_lean,723-723.75,7720.0,8.168
es_20260828_1345_short_7726_control,13:55:41,supply,OWNED,supply_lean,723-724,7720.0,8.238
es_20260828_1345_short_7726_control,13:55:50,supply,HOLD,demand_consumed,722.25-729.25,7719.75,30.334
es_20260828_1345_short_7726_control,13:56:28,supply,FORM,candidate,720.75-721,7721.0,8.347
es_20260828_1345_short_7726_control,13:57:06,supply,TEST,demand_consumed,722.25-729.25,7721.25,30.334
es_20260828_1345_short_7726_control,13:57:34,supply,TEST,supply_lean,723-723.75,7722.0,8.168
es_20260828_1345_short_7726_control,13:57:34,supply,TEST,supply_lean,723-724,7722.0,8.238
es_20260828_1345_short_7726_control,13:57:37,demand,HOLD,demand_lean,719.25-719.75,7722.5,22.343
es_20260828_1345_short_7726_control,13:57:37,demand,HOLD,supply_consumed,719.50-719.75,7722.5,8.13
es_20260828_1345_short_7726_control,13:58:40,supply,TEST,supply_lean,724-725.75,7723.0,22.52
es_20260828_1345_short_7726_control,13:58:53,demand,HOLD,supply_consumed,717-721,7723.5,13.188
es_20260828_1345_short_7726_control,13:59:03,demand,CONSUMED,supply_consumed,720.75-721,7723.75,8.347
es_20260828_1345_short_7726_control,14:00:19,supply,FORM,candidate,723.50-724.50,7724.25,9.159
es_20260828_1345_short_7726_control,14:00:21,supply,TEST,supply_lean,726-733.75,7725.0,69.016
es_20260828_1345_short_7726_control,14:00:41,supply,FAIL,supply_lean,723-723.75,7725.0,8.168
es_20260828_1345_short_7726_control,14:00:59,supply,HOLD,supply_lean,726-733.75,7723.5,69.016
es_20260828_1345_short_7726_control,14:01:01,demand,FORM,candidate,723.50-723.75,7723.5,8.194
es_20260828_1345_short_7726_control,14:02:45,supply,TEST,supply_lean,726-733.75,7725.25,69.016
es_20260828_1345_short_7726_control,14:02:48,supply,TEST,supply_lean,727-729.25,7726.0,32.922
es_20260828_1345_short_7726_control,14:02:48,supply,FAIL,supply_lean,723-724,7726.0,8.238
es_20260828_1345_short_7726_control,14:02:57,demand,OWNED,demand_lean,723-723.75,7726.25,10.909
es_20260828_1345_short_7726_control,14:03:32,supply,FORM,candidate,723.75-725.75,7725.25,9.946
es_20260828_1345_short_7726_control,14:04:07,demand,FORM,candidate,726.75,7726.75,9.058
es_20260828_1345_short_7726_control,14:04:40,demand,TEST,demand_lean,723-723.75,7724.75,10.909
es_20260828_1345_short_7726_control,14:04:44,supply,HOLD,supply_lean,727-729.25,7724.5,32.922
es_20260828_1345_short_7726_control,14:05:01,supply,HOLD,supply_lean,726-733.75,7723.5,69.016
es_20260828_1345_short_7726_control,14:05:11,supply,FORM,candidate,724.75-725,7725.0,10.964
es_20260828_1345_short_7726_control,14:05:11,supply,TEST,supply_lean,726-733.75,7725.0,69.016
es_20260828_1345_short_7726_control,14:05:13,supply,TEST,supply_lean,727-729.25,7726.0,32.922
