recorded_at_utc,api_as_of_utc,ticker,category,spot,zero_gamma,call_wall,put_wall,oi_call_wall,oi_put_wall,sum_gex_vol,sum_gex_oi,recorded_et,nearest_to_7740,dist_to_7740,nearest_to_7743,dist_to_7743,nearest_to_7741.5,dist_to_7741.5
2026-08-27T14:58:47.994887Z,2026-08-27T14:58:48Z,ES_SPX,gex_zero,7733.15,7717.35,7743.55,7703.55,7753.55,7728.55,140043.845,16111.711,10:58:47,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:58:48.321322Z,2026-08-27T14:58:48Z,ES_SPX,gex_full,7733.15,7716.93,7743.55,7703.55,7813.55,7513.55,143962.403,47018.529,10:58:48,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:59:49.837295Z,2026-08-27T14:59:48Z,ES_SPX,gex_zero,7734.13,7717.35,7743.55,7703.55,7753.55,7728.55,143384.223,16435.331,10:59:49,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T14:59:50.152511Z,2026-08-27T14:59:50Z,ES_SPX,gex_full,7734.3,7717.35,7743.55,7703.55,7813.55,7513.55,148491.096,49257.416,10:59:50,call_wall,-3.550000000000182,call_wall,-0.5500000000001819,call_wall,-2.050000000000182
2026-08-27T15:00:51.713633Z,2026-08-27T15:00:51Z,ES_SPX,gex_zero,7736.04,7717.97,7743.8,7703.8,7753.8,7728.8,152706.279,17094.472,11:00:51,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:00:52.030240Z,2026-08-27T15:00:51Z,ES_SPX,gex_full,7736.04,7717.97,7743.8,7703.8,7813.8,7513.8,157221.547,50471.378,11:00:52,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:01:53.565286Z,2026-08-27T15:01:52Z,ES_SPX,gex_zero,7737.96,7717.97,7743.8,7703.8,7753.8,7728.8,170146.678,18480.396,11:01:53,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:01:53.856919Z,2026-08-27T15:01:52Z,ES_SPX,gex_full,7737.96,7717.97,7743.8,7703.8,7813.8,7513.8,174994.79,52606.902,11:01:53,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:02:55.342492Z,2026-08-27T15:02:54Z,ES_SPX,gex_zero,7736.87,7717.97,7743.8,7703.8,7753.8,7728.8,168730.762,18075.468,11:02:55,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:02:55.672381Z,2026-08-27T15:02:54Z,ES_SPX,gex_full,7736.87,7717.97,7743.8,7703.8,7813.8,7513.8,173628.728,52344.927,11:02:55,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:03:57.216156Z,2026-08-27T15:03:56Z,ES_SPX,gex_zero,7734.09,7718.29,7743.8,7703.8,7753.8,7728.8,145571.025,16203.299,11:03:57,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:03:57.526221Z,2026-08-27T15:03:56Z,ES_SPX,gex_full,7734.09,7718.29,7743.8,7703.8,7813.8,7513.8,150174.648,50095.156,11:03:57,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:04:58.974064Z,2026-08-27T15:04:58Z,ES_SPX,gex_zero,7737.8,7717.97,7743.8,7703.8,7753.8,7728.8,180380.159,18985.99,11:04:58,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:04:59.404559Z,2026-08-27T15:04:58Z,ES_SPX,gex_full,7737.8,7717.97,7743.8,7703.8,7813.8,7513.8,185233.286,53399.692,11:04:59,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:06:00.924321Z,2026-08-27T15:06:00Z,ES_SPX,gex_zero,7737.33,7718.29,7743.8,7703.88,7753.8,7728.8,169998.032,18002.259,11:06:00,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:06:01.250728Z,2026-08-27T15:06:00Z,ES_SPX,gex_full,7737.33,7718.29,7743.8,7703.8,7813.8,7513.8,175060.021,52662.502,11:06:01,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:07:02.697176Z,2026-08-27T15:07:02Z,ES_SPX,gex_zero,7736.42,7717.97,7743.8,7703.8,7753.8,7728.8,174019.071,18132.98,11:07:02,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:07:03.051822Z,2026-08-27T15:07:02Z,ES_SPX,gex_full,7736.42,7717.97,7743.8,7703.8,7813.8,7513.8,179101.603,52769.702,11:07:03,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:08:04.492441Z,2026-08-27T15:08:03Z,ES_SPX,gex_zero,7735.57,7718.54,7743.8,7703.8,7753.8,7728.8,164876.632,17406.482,11:08:04,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
2026-08-27T15:08:04.884284Z,2026-08-27T15:08:04Z,ES_SPX,gex_full,7735.25,7718.54,7743.8,7703.8,7813.8,7513.8,167122.672,51393.764,11:08:04,call_wall,-3.800000000000182,call_wall,-0.8000000000001819,call_wall,-2.300000000000182
