symbol,first_line,last_line,first_utc,last_utc,first_et,last_et,count,campaign_id,phase_before,phase_after,action,policy,reason_code,waypoint_id,evidence_source,evidence_kind,evidence_side,first_price,min_price,max_price,first_pos_before,last_pos_after,first_evidence_id,last_evidence_id
ES,8538,8538,2026-08-27T14:35:31.073165Z,2026-08-27T14:35:31.073165Z,10:35:31,10:35:31,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7727.125,7727.125,7727.125,2,2,quote-639234381308211436,quote-639234381308211436
ES,8541,8541,2026-08-27T14:35:36.088689Z,2026-08-27T14:35:36.088689Z,10:35:36,10:35:36,1,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,LevelLedger,RailOwned,Demand,7727.5,7727.5,7727.5,2,2,live-ll-52-RailOwned-639234381360704603,live-ll-52-RailOwned-639234381360704603
ES,8544,8590,2026-08-27T14:35:41.328009Z,2026-08-27T14:36:48.324617Z,10:35:41,10:36:48,14,es-2026-08-27-long-orr-7716-7726,ProbeOpen,ProbeOpen,SuppressAdd,no_add_zone,inside_no_add_zone,no-add-7716-7728,Price,PriceTouch,None,7727.875,7727.875,7729.125,2,2,quote-639234381411841553,quote-639234382081976703
ES,9764,9764,2026-08-27T17:39:03.639916Z,2026-08-27T17:39:03.639916Z,13:39:03,13:39:03,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,Ready,ProbeOpen,AllowProbe,trap_probe,same_side_lean_at_trap_probe,probe-7748-7756,LevelLedger,RailHeld,Supply,7748.75,7748.75,7748.75,0,2,live-ll-28-RailHeld-639234491436131978,live-ll-28-RailHeld-639234491436131978
ES,9838,9838,2026-08-27T17:44:34.135105Z,2026-08-27T17:44:34.135105Z,13:44:34,13:44:34,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,ProbeOpen,BuildTrial,HoldRoot,build_trial,build_trial_alive,build-7738-7754,LevelLedger,RailHeld,Supply,7749.5,7749.5,7749.5,2,2,live-ll-30-RailHeld-639234494741235375,live-ll-30-RailHeld-639234494741235375
ES,9842,9842,2026-08-27T17:44:39.142329Z,2026-08-27T17:44:39.142329Z,13:44:39,13:44:39,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,HoldRoot,build_trial,build_trial_alive,build-7738-7754,LevelLedger,RailHeld,Supply,7748.25,7748.25,7748.25,2,2,live-ll-28-RailHeld-639234494791253269,live-ll-28-RailHeld-639234494791253269
ES,9851,9851,2026-08-27T17:44:57.627139Z,2026-08-27T17:44:57.627139Z,13:44:57,13:44:57,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,HoldRoot,build_trial,build_trial_alive,build-7738-7754,LevelLedger,RailOwned,Supply,7747.75,7747.75,7747.75,2,2,live-ll-34-RailOwned-639234494976223387,live-ll-34-RailOwned-639234494976223387
ES,9880,9880,2026-08-27T17:46:30.398611Z,2026-08-27T17:46:30.398611Z,13:46:30,13:46:30,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,LevelLedger,RailTested,Demand,7745.75,7745.75,7745.75,2,2,live-ll-3-RailTested-639234495903789629,live-ll-3-RailTested-639234495903789629
ES,9894,9894,2026-08-27T17:47:14.129062Z,2026-08-27T17:47:14.129062Z,13:47:14,13:47:14,1,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,LevelLedger,RailHeld,Demand,7747.25,7747.25,7747.25,2,2,live-ll-3-RailHeld-639234496341212378,live-ll-3-RailHeld-639234496341212378
ES,9908,9945,2026-08-27T17:47:57.891581Z,2026-08-27T17:51:21.391264Z,13:47:57,13:51:21,2,es-2026-08-27-short-upper-supply-vwap-7754-7756,BuildTrial,BuildTrial,SuppressAdd,evaluate_zone,inside_evaluate_zone,evaluate-7738-7742,LevelLedger,RailTested,Demand,7745.75,7743.5,7745.75,2,2,live-ll-3-RailTested-639234496778818098,live-ll-4-RailTested-639234498813866234
